ID_station,nom_station,adresse_station,latitude,longitude,nom_porteur,type_charge,nbre_pdc,type_connecteur,date_maj,observations,source
REN150,ETABLISSEMENT RENAULT DE REZE,REZE,47.155769,-1.537974,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN151,ETABLISSEMENT RENAULT DE SAINT-HERBLAIN,SAINT-HERBLAIN,47.249757,-1.615994,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN152,ETABLISSEMENT RENAULT DE SAINT-NAZAIRE,SAINT-NAZAIRE,47.258716,-2.274558,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN153,ETABLISSEMENT RENAULT DE AMILLY,AMILLY,47.974651,2.732598,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN154,ETABLISSEMENT RENAULT DE PITHIVIERS,PITHIVIERS,48.180468,2.251842,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN155,ETABLISSEMENT RENAULT DE FLEURY-LES-AUBRAIS,FLEURY-LES-AUBRAIS,47.935882,1.894317,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN156,ETABLISSEMENT RENAULT DE GIEN,GIEN,47.709332,2.640147,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN157,ETABLISSEMENT RENAULT DE CAHORS,CAHORS,44.424053,1.440153,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN158,ETABLISSEMENT RENAULT DE FIGEAC,FIGEAC,44.605191,2.012763,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN159,ETABLISSEMENT RENAULT DE AGEN,AGEN,44.188127,0.613761,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN160,ETABLISSEMENT RENAULT DE MARMANDE,MARMANDE,44.518061,0.12061,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN161,ETABLISSEMENT RENAULT DE VILLENEUVE-SUR-LOT,VILLENEUVE-SUR-LOT,44.404079,0.686243,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN162,ETABLISSEMENT RENAULT DE ANGERS,ANGERS,47.456612,-0.533183,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN163,ETABLISSEMENT RENAULT DE CHOLET,CHOLET,47.067012,-0.843423,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
